Gene_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,Is_Significant,Gene_Class
HELQ,560.597777527731,9.450034139131171e-6,0.0014425990451138481,0.2934699041217642,0.9425830200847998,FALSE,Not Significant
HELZ,1660.150041075121,8.701844498539709e-6,0.001442630084847909,0.24571430840033873,0.9369526205721378,FALSE,Not Significant
HELZ-AS1,11.39492578782305,1.2271478236570234e-6,0.001442683928210071,0.6691160793789435,0.9802205185694565,FALSE,Not Significant
HELZ2,2388.130386402892,-1.175154318870783e-6,0.0014426409239346927,0.8484176824086987,0.9873407478340492,FALSE,Not Significant
HEMGN,0.19158125453288968,-3.448523139920185e-7,0.0014426950105208005,0.6507484859934067,NA,FALSE,Not Significant
HEMK1,529.6592587219941,-4.172244100929082e-6,0.0014426019308482736,0.6142196633701263,0.9795409913114117,FALSE,Not Significant
HENMT1,124.8385992251183,-8.454753467010859e-6,0.0014426742108806449,0.08425018044681572,0.8646281263651825,FALSE,Not Significant
HEPACAM2,0.4409975581758159,6.19930724855211e-7,0.0014426950332441396,0.32251998121372183,NA,FALSE,Not Significant
HEPH,71.08277573280488,2.4136719172842507e-6,0.0014426925839085166,0.09942093501258954,0.8800206001919048,FALSE,Not Significant
HEPHL1,0.7970652663805252,-6.925514896779643e-7,0.0014426942039586364,0.41895548547332656,NA,FALSE,Not Significant
HERC1,1291.3008313458818,1.0486757985508182e-5,0.0014425960870950154,0.2551545077104634,0.9389989614006411,FALSE,Not Significant
HERC2,5777.948278123852,-1.59000568368291e-7,0.0014425919133358013,0.9838192766157322,0.9984137866749105,FALSE,Not Significant
HERC3,387.22694642383954,-1.8304910555963634e-6,0.0014426632792432273,0.6999018285665844,0.9802205185694565,FALSE,Not Significant
HERC4,1832.2995523668276,7.926305626575134e-6,0.0014425878824020444,0.3889978805765736,0.9632027564241908,FALSE,Not Significant
HERC5,486.547113073,1.09104909962418e-6,0.001442640682844938,0.8635712952384432,0.9873407478340492,FALSE,Not Significant
HERC6,217.4164297600861,-1.1420407305282345e-6,0.0014426247347340178,0.8573627484798573,0.9873407478340492,FALSE,Not Significant
HERPUD1,6319.038234262143,4.170800245952627e-6,0.0014426709859912468,0.3486121826424695,0.9539413646760342,FALSE,Not Significant
HERPUD2,932.4876212993995,1.4759643881916777e-5,0.0014426236959060933,0.09693916479944299,0.8769255686301277,FALSE,Not Significant
HERPUD2-AS1,363.0162275671714,5.3437487214179635e-6,0.001442647001991064,0.3858653527800223,0.9616490205272743,FALSE,Not Significant
HES1,110.9085229611128,-5.734914524771724e-6,0.0014426923146641385,0.692609979159908,0.9802205185694565,FALSE,Not Significant
HES2,0.18823337400707693,-3.881176454786282e-7,0.0014426950381575148,0.7554194153076658,NA,FALSE,Not Significant
HES3,0.10824651269804011,-2.162199709131476e-7,0.0014426950213418874,0.7779135511403712,NA,FALSE,Not Significant
HES4,236.65034210609758,-6.094534007058321e-6,0.0014426898017984428,0.03455930633619147,0.7461470992779362,FALSE,Not Significant
HES5,0.16484781904550175,-7.634145096533743e-8,0.0014426950226950166,0.8243047960671865,NA,FALSE,Not Significant
HES6,913.850274607089,-5.171892592227072e-6,0.0014426761999085983,0.20467300707357125,0.933745890576542,FALSE,Not Significant
HES7,9.343787724861357,-1.4838406680505567e-6,0.0014426910105729066,0.4048622850068283,0.9654713960417985,FALSE,Not Significant
HESX1,6.968734757528732,1.6772311235883533e-6,0.001442689252853471,0.4316138548767799,0.9695347270495018,FALSE,Not Significant
HEXA,3293.3019654844634,8.543516069449249e-6,0.0014424557344957204,0.526475061328298,0.9746201639455591,FALSE,Not Significant
HEXA-AS1,3.9406332689193015,-1.6482954195062699e-6,0.0014426934534634962,0.18143806858784264,NA,FALSE,Not Significant
HEXB,2753.752514825304,-8.288487970714743e-6,0.00144264946327904,0.19669533096936778,0.9312943246797288,FALSE,Not Significant
HEXD,749.490010643611,-3.2255031702889006e-6,0.001442658097646451,0.5409166620583239,0.9749914721482018,FALSE,Not Significant
HEXD-IT1,0.5167562608479814,1.607652739352086e-7,0.0014426946899525888,0.8905791567237288,NA,FALSE,Not Significant
HEXIM1,2189.504777943597,-2.592546362670111e-6,0.0014426258666573287,0.7147773710043959,0.9802205185694565,FALSE,Not Significant
